Scenario;Size;DataStructure;AvgInsert_ns;AvgSearch_ns;AvgDelete_ns
Random;1000;2-3 Tree;98,0;101,9;109,8
Random;1000;Red-Black Tree;78,9;27,4;93,9
Random;1000;Hash Chain;43,2;12,9;11,8
Random;1000;Hash Double;48,8;15,7;9,5
Random;5000;2-3 Tree;126,8;95,4;128,7
Random;5000;Red-Black Tree;92,6;33,8;69,7
Random;5000;Hash Chain;35,2;14,0;13,3
Random;5000;Hash Double;43,0;18,1;8,7
Random;10000;2-3 Tree;126,4;97,2;126,6
Random;10000;Red-Black Tree;93,6;39,9;79,8
Random;10000;Hash Chain;33,7;14,1;13,1
Random;10000;Hash Double;48,0;18,5;9,1
Random;50000;2-3 Tree;221,1;152,6;197,5
Random;50000;Red-Black Tree;144,1;68,9;150,1
Random;50000;Hash Chain;101,1;20,4;20,7
Random;50000;Hash Double;44,3;30,3;10,7
Random;100000;2-3 Tree;232,5;254,6;391,2
Random;100000;Red-Black Tree;222,4;107,7;244,6
Random;100000;Hash Chain;138,6;32,1;43,5
Random;100000;Hash Double;52,8;36,1;19,3
Sequential;1000;2-3 Tree;90,4;40,5;39,7
Sequential;1000;Red-Black Tree;75,6;13,3;29,5
Sequential;1000;Hash Chain;23,2;2,3;10,1
Sequential;1000;Hash Double;21,4;5,5;5,6
Sequential;5000;2-3 Tree;119,5;52,2;46,3
Sequential;5000;Red-Black Tree;85,2;12,6;26,8
Sequential;5000;Hash Chain;16,2;1,8;7,5
Sequential;5000;Hash Double;15,2;5,5;5,6
Sequential;10000;2-3 Tree;135,7;63,8;51,3
Sequential;10000;Red-Black Tree;92,9;17,6;38,3
Sequential;10000;Hash Chain;21,8;2,3;9,0
Sequential;10000;Hash Double;21,4;5,5;5,5
Sequential;50000;2-3 Tree;137,6;68,4;73,9
Sequential;50000;Red-Black Tree;162,2;19,4;35,0
Sequential;50000;Hash Chain;20,7;2,2;8,4
Sequential;50000;Hash Double;14,5;5,6;5,5
Sequential;100000;2-3 Tree;127,3;67,8;53,0
Sequential;100000;Red-Black Tree;221,8;21,7;37,5
Sequential;100000;Hash Chain;36,7;2,5;7,2
Sequential;100000;Hash Double;19,3;5,2;5,3
Reverse;1000;2-3 Tree;46,4;34,4;52,8
Reverse;1000;Red-Black Tree;54,5;10,7;31,0
Reverse;1000;Hash Chain;18,6;1,8;7,3
Reverse;1000;Hash Double;18,2;5,2;5,2
Reverse;5000;2-3 Tree;51,0;44,6;67,6
Reverse;5000;Red-Black Tree;68,2;10,9;23,9
Reverse;5000;Hash Chain;14,6;1,7;6,8
Reverse;5000;Hash Double;14,5;5,2;5,2
Reverse;10000;2-3 Tree;61,0;49,1;64,8
Reverse;10000;Red-Black Tree;69,7;11,2;27,1
Reverse;10000;Hash Chain;14,8;1,7;7,3
Reverse;10000;Hash Double;14,2;5,2;5,2
Reverse;50000;2-3 Tree;70,5;63,7;85,2
Reverse;50000;Red-Black Tree;145,9;18,3;33,2
Reverse;50000;Hash Chain;23,0;2,0;7,5
Reverse;50000;Hash Double;15,2;5,4;5,5
Reverse;100000;2-3 Tree;76,2;72,7;90,5
Reverse;100000;Red-Black Tree;221,0;22,4;37,7
Reverse;100000;Hash Chain;37,9;2,4;7,7
Reverse;100000;Hash Double;19,2;5,3;5,5
Mixed;1000;2-3 Tree;91,4;66,9;102,0
Mixed;1000;Red-Black Tree;80,0;44,3;72,0
Mixed;1000;Hash Chain;66,4;33,5;40,0
Mixed;1000;Hash Double;56,6;39,6;40,9
Mixed;5000;2-3 Tree;101,0;78,8;115,4
Mixed;5000;Red-Black Tree;87,4;49,7;73,7
Mixed;5000;Hash Chain;51,7;32,5;36,7
Mixed;5000;Hash Double;50,8;48,7;39,6
Mixed;10000;2-3 Tree;112,9;86,1;123,1
Mixed;10000;Red-Black Tree;88,3;58,3;77,4
Mixed;10000;Hash Chain;52,2;34,2;38,5
Mixed;10000;Hash Double;50,9;39,7;40,2
Mixed;50000;2-3 Tree;120,4;109,9;155,0
Mixed;50000;Red-Black Tree;100,7;79,6;107,8
Mixed;50000;Hash Chain;56,0;37,7;42,6
Mixed;50000;Hash Double;45,5;41,1;41,2
Mixed;100000;2-3 Tree;126,2;125,3;167,7
Mixed;100000;Red-Black Tree;127,1;116,0;155,3
Mixed;100000;Hash Chain;57,0;41,6;46,0
Mixed;100000;Hash Double;46,9;41,5;42,4
Delete-heavy;1000;2-3 Tree;97,0;55,7;89,6
Delete-heavy;1000;Red-Black Tree;71,6;19,0;53,4
Delete-heavy;1000;Hash Chain;21,5;6,2;10,6
Delete-heavy;1000;Hash Double;26,7;25,8;8,7
Delete-heavy;5000;2-3 Tree;133,0;79,0;109,5
Delete-heavy;5000;Red-Black Tree;86,7;26,6;67,8
Delete-heavy;5000;Hash Chain;21,2;7,5;12,6
Delete-heavy;5000;Hash Double;39,7;32,2;9,3
Delete-heavy;10000;2-3 Tree;129,0;88,6;123,1
Delete-heavy;10000;Red-Black Tree;98,0;31,1;77,2
Delete-heavy;10000;Hash Chain;21,4;8,3;13,2
Delete-heavy;10000;Hash Double;35,6;33,3;9,6
Delete-heavy;50000;2-3 Tree;176,1;144,4;173,6
Delete-heavy;50000;Red-Black Tree;152,0;75,0;126,6
Delete-heavy;50000;Hash Chain;44,4;12,0;34,2
Delete-heavy;50000;Hash Double;98,0;14,0;13,7
Delete-heavy;100000;2-3 Tree;238,4;225,7;259,6
Delete-heavy;100000;Red-Black Tree;214,8;81,2;207,0
Delete-heavy;100000;Hash Chain;39,3;9,5;31,7
Delete-heavy;100000;Hash Double;80,2;12,8;12,9
